ticker,ticker_yfinance,sector,window_id,indicator,variant,signal_column,level_label,lower_level,upper_level,sma50_label,use_sma50_filter,candle_label,use_candle_confirmation,volume_label,use_volume_filter,volume_window,volume_multiplier,in_sample_start,in_sample_end,out_sample_start,out_sample_end,total_active_signals,correct_signals,directional_accuracy,hit_rate
BBCA,BBCA.JK,Finansial,3,RSI,RSI14 | RSI 30/70 | Without SMA50 Filter | Candle Confirmation | Volume >= VolMA20,RSI_30_70_NOSMA50_CANDLE_VOL_Signal,RSI 30/70,30,70,Without SMA50 Filter,False,Candle Confirmation,True,Volume >= VolMA20,True,20,1.0,2025-04-21,2025-10-20,2025-10-21,2026-01-21,2,0,0.0,0.0
BBCA,BBCA.JK,Finansial,3,RSI,RSI14 | RSI 35/65 | With SMA50 Filter | No Candle Confirmation | No Volume Filter,RSI_35_65_SMA50_NOCANDLE_NOVOL_Signal,RSI 35/65,35,65,With SMA50 Filter,True,No Candle Confirmation,False,No Volume Filter,False,20,0.0,2025-04-21,2025-10-20,2025-10-21,2026-01-21,1,0,0.0,0.0
BBCA,BBCA.JK,Finansial,3,RSI,RSI14 | RSI 35/65 | With SMA50 Filter | No Candle Confirmation | Volume >= VolMA20,RSI_35_65_SMA50_NOCANDLE_VOL_Signal,RSI 35/65,35,65,With SMA50 Filter,True,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,2025-04-21,2025-10-20,2025-10-21,2026-01-21,1,0,0.0,0.0
BBCA,BBCA.JK,Finansial,3,RSI,RSI14 | RSI 35/65 | With SMA50 Filter | Candle Confirmation | No Volume Filter,RSI_35_65_SMA50_CANDLE_NOVOL_Signal,RSI 35/65,35,65,With SMA50 Filter,True,Candle Confirmation,True,No Volume Filter,False,20,0.0,2025-04-21,2025-10-20,2025-10-21,2026-01-21,1,0,0.0,0.0
BBCA,BBCA.JK,Finansial,3,RSI,RSI14 | RSI 35/65 | With SMA50 Filter | Candle Confirmation | Volume >= VolMA20,RSI_35_65_SMA50_CANDLE_VOL_Signal,RSI 35/65,35,65,With SMA50 Filter,True,Candle Confirmation,True,Volume >= VolMA20,True,20,1.0,2025-04-21,2025-10-20,2025-10-21,2026-01-21,1,0,0.0,0.0
BBCA,BBCA.JK,Finansial,3,RSI,RSI14 | RSI 35/65 | Without SMA50 Filter | No Candle Confirmation | No Volume Filter,RSI_35_65_NOSMA50_NOCANDLE_NOVOL_Signal,RSI 35/65,35,65,Without SMA50 Filter,False,No Candle Confirmation,False,No Volume Filter,False,20,0.0,2025-04-21,2025-10-20,2025-10-21,2026-01-21,2,1,50.0,50.0
BBCA,BBCA.JK,Finansial,3,RSI,RSI14 | RSI 35/65 | Without SMA50 Filter | No Candle Confirmation | Volume >= VolMA20,RSI_35_65_NOSMA50_NOCANDLE_VOL_Signal,RSI 35/65,35,65,Without SMA50 Filter,False,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,2025-04-21,2025-10-20,2025-10-21,2026-01-21,1,0,0.0,0.0
BBCA,BBCA.JK,Finansial,3,RSI,RSI14 | RSI 35/65 | Without SMA50 Filter | Candle Confirmation | No Volume Filter,RSI_35_65_NOSMA50_CANDLE_NOVOL_Signal,RSI 35/65,35,65,Without SMA50 Filter,False,Candle Confirmation,True,No Volume Filter,False,20,0.0,2025-04-21,2025-10-20,2025-10-21,2026-01-21,2,1,50.0,50.0
BBCA,BBCA.JK,Finansial,3,RSI,RSI14 | RSI 35/65 | Without SMA50 Filter | Candle Confirmation | Volume >= VolMA20,RSI_35_65_NOSMA50_CANDLE_VOL_Signal,RSI 35/65,35,65,Without SMA50 Filter,False,Candle Confirmation,True,Volume >= VolMA20,True,20,1.0,2025-04-21,2025-10-20,2025-10-21,2026-01-21,1,0,0.0,0.0
BBCA,BBCA.JK,Finansial,3,RSI,RSI14 | RSI 25/75 | With SMA50 Filter | No Candle Confirmation | No Volume Filter,RSI_25_75_SMA50_NOCANDLE_NOVOL_Signal,RSI 25/75,25,75,With SMA50 Filter,True,No Candle Confirmation,False,No Volume Filter,False,20,0.0,2025-04-21,2025-10-20,2025-10-21,2026-01-21,1,0,0.0,0.0
BBCA,BBCA.JK,Finansial,3,RSI,RSI14 | RSI 25/75 | With SMA50 Filter | No Candle Confirmation | Volume >= VolMA20,RSI_25_75_SMA50_NOCANDLE_VOL_Signal,RSI 25/75,25,75,With SMA50 Filter,True,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,2025-04-21,2025-10-20,2025-10-21,2026-01-21,1,0,0.0,0.0
BBCA,BBCA.JK,Finansial,3,RSI,RSI14 | RSI 25/75 | With SMA50 Filter | Candle Confirmation | No Volume Filter,RSI_25_75_SMA50_CANDLE_NOVOL_Signal,RSI 25/75,25,75,With SMA50 Filter,True,Candle Confirmation,True,No Volume Filter,False,20,0.0,2025-04-21,2025-10-20,2025-10-21,2026-01-21,1,0,0.0,0.0
BBCA,BBCA.JK,Finansial,3,RSI,RSI14 | RSI 25/75 | With SMA50 Filter | Candle Confirmation | Volume >= VolMA20,RSI_25_75_SMA50_CANDLE_VOL_Signal,RSI 25/75,25,75,With SMA50 Filter,True,Candle Confirmation,True,Volume >= VolMA20,True,20,1.0,2025-04-21,2025-10-20,2025-10-21,2026-01-21,1,0,0.0,0.0
BBCA,BBCA.JK,Finansial,3,RSI,RSI14 | RSI 25/75 | Without SMA50 Filter | No Candle Confirmation | No Volume Filter,RSI_25_75_NOSMA50_NOCANDLE_NOVOL_Signal,RSI 25/75,25,75,Without SMA50 Filter,False,No Candle Confirmation,False,No Volume Filter,False,20,0.0,2025-04-21,2025-10-20,2025-10-21,2026-01-21,2,1,50.0,50.0
BBCA,BBCA.JK,Finansial,3,RSI,RSI14 | RSI 25/75 | Without SMA50 Filter | No Candle Confirmation | Volume >= VolMA20,RSI_25_75_NOSMA50_NOCANDLE_VOL_Signal,RSI 25/75,25,75,Without SMA50 Filter,False,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,2025-04-21,2025-10-20,2025-10-21,2026-01-21,1,0,0.0,0.0
BBCA,BBCA.JK,Finansial,3,RSI,RSI14 | RSI 25/75 | Without SMA50 Filter | Candle Confirmation | No Volume Filter,RSI_25_75_NOSMA50_CANDLE_NOVOL_Signal,RSI 25/75,25,75,Without SMA50 Filter,False,Candle Confirmation,True,No Volume Filter,False,20,0.0,2025-04-21,2025-10-20,2025-10-21,2026-01-21,2,1,50.0,50.0
BBCA,BBCA.JK,Finansial,3,RSI,RSI14 | RSI 25/75 | Without SMA50 Filter | Candle Confirmation | Volume >= VolMA20,RSI_25_75_NOSMA50_CANDLE_VOL_Signal,RSI 25/75,25,75,Without SMA50 Filter,False,Candle Confirmation,True,Volume >= VolMA20,True,20,1.0,2025-04-21,2025-10-20,2025-10-21,2026-01-21,1,0,0.0,0.0
BBCA,BBCA.JK,Finansial,3,RSI,RSI14 | RSI 40/60 | With SMA50 Filter | No Candle Confirmation | No Volume Filter,RSI_40_60_SMA50_NOCANDLE_NOVOL_Signal,RSI 40/60,40,60,With SMA50 Filter,True,No Candle Confirmation,False,No Volume Filter,False,20,0.0,2025-04-21,2025-10-20,2025-10-21,2026-01-21,3,0,0.0,0.0
BBCA,BBCA.JK,Finansial,3,RSI,RSI14 | RSI 40/60 | With SMA50 Filter | No Candle Confirmation | Volume >= VolMA20,RSI_40_60_SMA50_NOCANDLE_VOL_Signal,RSI 40/60,40,60,With SMA50 Filter,True,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,2025-04-21,2025-10-20,2025-10-21,2026-01-21,1,0,0.0,0.0
BBCA,BBCA.JK,Finansial,3,RSI,RSI14 | RSI 40/60 | With SMA50 Filter | Candle Confirmation | No Volume Filter,RSI_40_60_SMA50_CANDLE_NOVOL_Signal,RSI 40/60,40,60,With SMA50 Filter,True,Candle Confirmation,True,No Volume Filter,False,20,0.0,2025-04-21,2025-10-20,2025-10-21,2026-01-21,2,0,0.0,0.0
BBCA,BBCA.JK,Finansial,3,RSI,RSI14 | RSI 40/60 | With SMA50 Filter | Candle Confirmation | Volume >= VolMA20,RSI_40_60_SMA50_CANDLE_VOL_Signal,RSI 40/60,40,60,With SMA50 Filter,True,Candle Confirmation,True,Volume >= VolMA20,True,20,1.0,2025-04-21,2025-10-20,2025-10-21,2026-01-21,1,0,0.0,0.0
BBCA,BBCA.JK,Finansial,3,RSI,RSI14 | RSI 40/60 | Without SMA50 Filter | No Candle Confirmation | No Volume Filter,RSI_40_60_NOSMA50_NOCANDLE_NOVOL_Signal,RSI 40/60,40,60,Without SMA50 Filter,False,No Candle Confirmation,False,No Volume Filter,False,20,0.0,2025-04-21,2025-10-20,2025-10-21,2026-01-21,7,1,14.285714285714285,14.285714285714285
BBCA,BBCA.JK,Finansial,3,RSI,RSI14 | RSI 40/60 | Without SMA50 Filter | No Candle Confirmation | Volume >= VolMA20,RSI_40_60_NOSMA50_NOCANDLE_VOL_Signal,RSI 40/60,40,60,Without SMA50 Filter,False,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,2025-04-21,2025-10-20,2025-10-21,2026-01-21,1,0,0.0,0.0
BBCA,BBCA.JK,Finansial,3,RSI,RSI14 | RSI 40/60 | Without SMA50 Filter | Candle Confirmation | No Volume Filter,RSI_40_60_NOSMA50_CANDLE_NOVOL_Signal,RSI 40/60,40,60,Without SMA50 Filter,False,Candle Confirmation,True,No Volume Filter,False,20,0.0,2025-04-21,2025-10-20,2025-10-21,2026-01-21,6,1,16.666666666666664,16.666666666666664
BBCA,BBCA.JK,Finansial,3,RSI,RSI14 | RSI 40/60 | Without SMA50 Filter | Candle Confirmation | Volume >= VolMA20,RSI_40_60_NOSMA50_CANDLE_VOL_Signal,RSI 40/60,40,60,Without SMA50 Filter,False,Candle Confirmation,True,Volume >= VolMA20,True,20,1.0,2025-04-21,2025-10-20,2025-10-21,2026-01-21,1,0,0.0,0.0
BBCA,BBCA.JK,Finansial,4,RSI,RSI14 | RSI 30/70 | With SMA50 Filter | No Candle Confirmation | No Volume Filter,RSI_30_70_SMA50_NOCANDLE_NOVOL_Signal,RSI 30/70,30,70,With SMA50 Filter,True,No Candle Confirmation,False,No Volume Filter,False,20,0.0,2025-07-21,2026-01-20,2026-01-21,2026-04-21,0,0,0.0,0.0
BBCA,BBCA.JK,Finansial,4,RSI,RSI14 | RSI 30/70 | With SMA50 Filter | No Candle Confirmation | Volume >= VolMA20,RSI_30_70_SMA50_NOCANDLE_VOL_Signal,RSI 30/70,30,70,With SMA50 Filter,True,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,2025-07-21,2026-01-20,2026-01-21,2026-04-21,0,0,0.0,0.0
BBCA,BBCA.JK,Finansial,4,RSI,RSI14 | RSI 30/70 | With SMA50 Filter | Candle Confirmation | No Volume Filter,RSI_30_70_SMA50_CANDLE_NOVOL_Signal,RSI 30/70,30,70,With SMA50 Filter,True,Candle Confirmation,True,No Volume Filter,False,20,0.0,2025-07-21,2026-01-20,2026-01-21,2026-04-21,0,0,0.0,0.0
BBCA,BBCA.JK,Finansial,4,RSI,RSI14 | RSI 30/70 | With SMA50 Filter | Candle Confirmation | Volume >= VolMA20,RSI_30_70_SMA50_CANDLE_VOL_Signal,RSI 30/70,30,70,With SMA50 Filter,True,Candle Confirmation,True,Volume >= VolMA20,True,20,1.0,2025-07-21,2026-01-20,2026-01-21,2026-04-21,0,0,0.0,0.0
BBCA,BBCA.JK,Finansial,4,RSI,RSI14 | RSI 30/70 | Without SMA50 Filter | No Candle Confirmation | No Volume Filter,RSI_30_70_NOSMA50_NOCANDLE_NOVOL_Signal,RSI 30/70,30,70,Without SMA50 Filter,False,No Candle Confirmation,False,No Volume Filter,False,20,0.0,2025-07-21,2026-01-20,2026-01-21,2026-04-21,5,2,40.0,40.0
BBCA,BBCA.JK,Finansial,4,RSI,RSI14 | RSI 30/70 | Without SMA50 Filter | No Candle Confirmation | Volume >= VolMA20,RSI_30_70_NOSMA50_NOCANDLE_VOL_Signal,RSI 30/70,30,70,Without SMA50 Filter,False,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,2025-07-21,2026-01-20,2026-01-21,2026-04-21,2,1,50.0,50.0
BBCA,BBCA.JK,Finansial,4,RSI,RSI14 | RSI 30/70 | Without SMA50 Filter | Candle Confirmation | No Volume Filter,RSI_30_70_NOSMA50_CANDLE_NOVOL_Signal,RSI 30/70,30,70,Without SMA50 Filter,False,Candle Confirmation,True,No Volume Filter,False,20,0.0,2025-07-21,2026-01-20,2026-01-21,2026-04-21,5,2,40.0,40.0
BBCA,BBCA.JK,Finansial,4,RSI,RSI14 | RSI 30/70 | Without SMA50 Filter | Candle Confirmation | Volume >= VolMA20,RSI_30_70_NOSMA50_CANDLE_VOL_Signal,RSI 30/70,30,70,Without SMA50 Filter,False,Candle Confirmation,True,Volume >= VolMA20,True,20,1.0,2025-07-21,2026-01-20,2026-01-21,2026-04-21,2,1,50.0,50.0
BBCA,BBCA.JK,Finansial,4,RSI,RSI14 | RSI 35/65 | With SMA50 Filter | No Candle Confirmation | No Volume Filter,RSI_35_65_SMA50_NOCANDLE_NOVOL_Signal,RSI 35/65,35,65,With SMA50 Filter,True,No Candle Confirmation,False,No Volume Filter,False,20,0.0,2025-07-21,2026-01-20,2026-01-21,2026-04-21,0,0,0.0,0.0
BBCA,BBCA.JK,Finansial,4,RSI,RSI14 | RSI 35/65 | With SMA50 Filter | No Candle Confirmation | Volume >= VolMA20,RSI_35_65_SMA50_NOCANDLE_VOL_Signal,RSI 35/65,35,65,With SMA50 Filter,True,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,2025-07-21,2026-01-20,2026-01-21,2026-04-21,0,0,0.0,0.0
BBCA,BBCA.JK,Finansial,4,RSI,RSI14 | RSI 35/65 | With SMA50 Filter | Candle Confirmation | No Volume Filter,RSI_35_65_SMA50_CANDLE_NOVOL_Signal,RSI 35/65,35,65,With SMA50 Filter,True,Candle Confirmation,True,No Volume Filter,False,20,0.0,2025-07-21,2026-01-20,2026-01-21,2026-04-21,0,0,0.0,0.0
BBCA,BBCA.JK,Finansial,4,RSI,RSI14 | RSI 35/65 | With SMA50 Filter | Candle Confirmation | Volume >= VolMA20,RSI_35_65_SMA50_CANDLE_VOL_Signal,RSI 35/65,35,65,With SMA50 Filter,True,Candle Confirmation,True,Volume >= VolMA20,True,20,1.0,2025-07-21,2026-01-20,2026-01-21,2026-04-21,0,0,0.0,0.0
BBCA,BBCA.JK,Finansial,4,RSI,RSI14 | RSI 35/65 | Without SMA50 Filter | No Candle Confirmation | No Volume Filter,RSI_35_65_NOSMA50_NOCANDLE_NOVOL_Signal,RSI 35/65,35,65,Without SMA50 Filter,False,No Candle Confirmation,False,No Volume Filter,False,20,0.0,2025-07-21,2026-01-20,2026-01-21,2026-04-21,7,2,28.57142857142857,28.57142857142857
BBCA,BBCA.JK,Finansial,4,RSI,RSI14 | RSI 35/65 | Without SMA50 Filter | No Candle Confirmation | Volume >= VolMA20,RSI_35_65_NOSMA50_NOCANDLE_VOL_Signal,RSI 35/65,35,65,Without SMA50 Filter,False,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,2025-07-21,2026-01-20,2026-01-21,2026-04-21,3,1,33.33333333333333,33.33333333333333
BBCA,BBCA.JK,Finansial,4,RSI,RSI14 | RSI 35/65 | Without SMA50 Filter | Candle Confirmation | No Volume Filter,RSI_35_65_NOSMA50_CANDLE_NOVOL_Signal,RSI 35/65,35,65,Without SMA50 Filter,False,Candle Confirmation,True,No Volume Filter,False,20,0.0,2025-07-21,2026-01-20,2026-01-21,2026-04-21,5,1,20.0,20.0
BBCA,BBCA.JK,Finansial,4,RSI,RSI14 | RSI 35/65 | Without SMA50 Filter | Candle Confirmation | Volume >= VolMA20,RSI_35_65_NOSMA50_CANDLE_VOL_Signal,RSI 35/65,35,65,Without SMA50 Filter,False,Candle Confirmation,True,Volume >= VolMA20,True,20,1.0,2025-07-21,2026-01-20,2026-01-21,2026-04-21,3,1,33.33333333333333,33.33333333333333
BBCA,BBCA.JK,Finansial,4,RSI,RSI14 | RSI 25/75 | With SMA50 Filter | No Candle Confirmation | No Volume Filter,RSI_25_75_SMA50_NOCANDLE_NOVOL_Signal,RSI 25/75,25,75,With SMA50 Filter,True,No Candle Confirmation,False,No Volume Filter,False,20,0.0,2025-07-21,2026-01-20,2026-01-21,2026-04-21,0,0,0.0,0.0
BBCA,BBCA.JK,Finansial,4,RSI,RSI14 | RSI 25/75 | With SMA50 Filter | No Candle Confirmation | Volume >= VolMA20,RSI_25_75_SMA50_NOCANDLE_VOL_Signal,RSI 25/75,25,75,With SMA50 Filter,True,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,2025-07-21,2026-01-20,2026-01-21,2026-04-21,0,0,0.0,0.0
BBCA,BBCA.JK,Finansial,4,RSI,RSI14 | RSI 25/75 | With SMA50 Filter | Candle Confirmation | No Volume Filter,RSI_25_75_SMA50_CANDLE_NOVOL_Signal,RSI 25/75,25,75,With SMA50 Filter,True,Candle Confirmation,True,No Volume Filter,False,20,0.0,2025-07-21,2026-01-20,2026-01-21,2026-04-21,0,0,0.0,0.0
BBCA,BBCA.JK,Finansial,4,RSI,RSI14 | RSI 25/75 | With SMA50 Filter | Candle Confirmation | Volume >= VolMA20,RSI_25_75_SMA50_CANDLE_VOL_Signal,RSI 25/75,25,75,With SMA50 Filter,True,Candle Confirmation,True,Volume >= VolMA20,True,20,1.0,2025-07-21,2026-01-20,2026-01-21,2026-04-21,0,0,0.0,0.0
BBCA,BBCA.JK,Finansial,4,RSI,RSI14 | RSI 25/75 | Without SMA50 Filter | No Candle Confirmation | No Volume Filter,RSI_25_75_NOSMA50_NOCANDLE_NOVOL_Signal,RSI 25/75,25,75,Without SMA50 Filter,False,No Candle Confirmation,False,No Volume Filter,False,20,0.0,2025-07-21,2026-01-20,2026-01-21,2026-04-21,2,1,50.0,50.0
BBCA,BBCA.JK,Finansial,4,RSI,RSI14 | RSI 25/75 | Without SMA50 Filter | No Candle Confirmation | Volume >= VolMA20,RSI_25_75_NOSMA50_NOCANDLE_VOL_Signal,RSI 25/75,25,75,Without SMA50 Filter,False,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,2025-07-21,2026-01-20,2026-01-21,2026-04-21,1,1,100.0,100.0
BBCA,BBCA.JK,Finansial,4,RSI,RSI14 | RSI 25/75 | Without SMA50 Filter | Candle Confirmation | No Volume Filter,RSI_25_75_NOSMA50_CANDLE_NOVOL_Signal,RSI 25/75,25,75,Without SMA50 Filter,False,Candle Confirmation,True,No Volume Filter,False,20,0.0,2025-07-21,2026-01-20,2026-01-21,2026-04-21,2,1,50.0,50.0
BBCA,BBCA.JK,Finansial,4,RSI,RSI14 | RSI 25/75 | Without SMA50 Filter | Candle Confirmation | Volume >= VolMA20,RSI_25_75_NOSMA50_CANDLE_VOL_Signal,RSI 25/75,25,75,Without SMA50 Filter,False,Candle Confirmation,True,Volume >= VolMA20,True,20,1.0,2025-07-21,2026-01-20,2026-01-21,2026-04-21,1,1,100.0,100.0
BBCA,BBCA.JK,Finansial,4,RSI,RSI14 | RSI 40/60 | With SMA50 Filter | No Candle Confirmation | No Volume Filter,RSI_40_60_SMA50_NOCANDLE_NOVOL_Signal,RSI 40/60,40,60,With SMA50 Filter,True,No Candle Confirmation,False,No Volume Filter,False,20,0.0,2025-07-21,2026-01-20,2026-01-21,2026-04-21,0,0,0.0,0.0
BBCA,BBCA.JK,Finansial,4,RSI,RSI14 | RSI 40/60 | With SMA50 Filter | No Candle Confirmation | Volume >= VolMA20,RSI_40_60_SMA50_NOCANDLE_VOL_Signal,RSI 40/60,40,60,With SMA50 Filter,True,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,2025-07-21,2026-01-20,2026-01-21,2026-04-21,0,0,0.0,0.0
BBCA,BBCA.JK,Finansial,4,RSI,RSI14 | RSI 40/60 | With SMA50 Filter | Candle Confirmation | No Volume Filter,RSI_40_60_SMA50_CANDLE_NOVOL_Signal,RSI 40/60,40,60,With SMA50 Filter,True,Candle Confirmation,True,No Volume Filter,False,20,0.0,2025-07-21,2026-01-20,2026-01-21,2026-04-21,0,0,0.0,0.0
BBCA,BBCA.JK,Finansial,4,RSI,RSI14 | RSI 40/60 | With SMA50 Filter | Candle Confirmation | Volume >= VolMA20,RSI_40_60_SMA50_CANDLE_VOL_Signal,RSI 40/60,40,60,With SMA50 Filter,True,Candle Confirmation,True,Volume >= VolMA20,True,20,1.0,2025-07-21,2026-01-20,2026-01-21,2026-04-21,0,0,0.0,0.0
BBCA,BBCA.JK,Finansial,4,RSI,RSI14 | RSI 40/60 | Without SMA50 Filter | No Candle Confirmation | No Volume Filter,RSI_40_60_NOSMA50_NOCANDLE_NOVOL_Signal,RSI 40/60,40,60,Without SMA50 Filter,False,No Candle Confirmation,False,No Volume Filter,False,20,0.0,2025-07-21,2026-01-20,2026-01-21,2026-04-21,5,1,20.0,20.0
BBCA,BBCA.JK,Finansial,4,RSI,RSI14 | RSI 40/60 | Without SMA50 Filter | No Candle Confirmation | Volume >= VolMA20,RSI_40_60_NOSMA50_NOCANDLE_VOL_Signal,RSI 40/60,40,60,Without SMA50 Filter,False,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,2025-07-21,2026-01-20,2026-01-21,2026-04-21,2,0,0.0,0.0
BBCA,BBCA.JK,Finansial,4,RSI,RSI14 | RSI 40/60 | Without SMA50 Filter | Candle Confirmation | No Volume Filter,RSI_40_60_NOSMA50_CANDLE_NOVOL_Signal,RSI 40/60,40,60,Without SMA50 Filter,False,Candle Confirmation,True,No Volume Filter,False,20,0.0,2025-07-21,2026-01-20,2026-01-21,2026-04-21,4,1,25.0,25.0
BBCA,BBCA.JK,Finansial,4,RSI,RSI14 | RSI 40/60 | Without SMA50 Filter | Candle Confirmation | Volume >= VolMA20,RSI_40_60_NOSMA50_CANDLE_VOL_Signal,RSI 40/60,40,60,Without SMA50 Filter,False,Candle Confirmation,True,Volume >= VolMA20,True,20,1.0,2025-07-21,2026-01-20,2026-01-21,2026-04-21,2,0,0.0,0.0
BBRI,BBRI.JK,Finansial,1,RSI,RSI14 | RSI 30/70 | With SMA50 Filter | No Candle Confirmation | No Volume Filter,RSI_30_70_SMA50_NOCANDLE_NOVOL_Signal,RSI 30/70,30,70,With SMA50 Filter,True,No Candle Confirmation,False,No Volume Filter,False,20,0.0,2024-10-21,2025-04-20,2025-04-21,2025-07-21,0,0,0.0,0.0
BBRI,BBRI.JK,Finansial,1,RSI,RSI14 | RSI 30/70 | With SMA50 Filter | No Candle Confirmation | Volume >= VolMA20,RSI_30_70_SMA50_NOCANDLE_VOL_Signal,RSI 30/70,30,70,With SMA50 Filter,True,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,2024-10-21,2025-04-20,2025-04-21,2025-07-21,0,0,0.0,0.0
BBRI,BBRI.JK,Finansial,1,RSI,RSI14 | RSI 30/70 | With SMA50 Filter | Candle Confirmation | No Volume Filter,RSI_30_70_SMA50_CANDLE_NOVOL_Signal,RSI 30/70,30,70,With SMA50 Filter,True,Candle Confirmation,True,No Volume Filter,False,20,0.0,2024-10-21,2025-04-20,2025-04-21,2025-07-21,0,0,0.0,0.0
BBRI,BBRI.JK,Finansial,1,RSI,RSI14 | RSI 30/70 | With SMA50 Filter | Candle Confirmation | Volume >= VolMA20,RSI_30_70_SMA50_CANDLE_VOL_Signal,RSI 30/70,30,70,With SMA50 Filter,True,Candle Confirmation,True,Volume >= VolMA20,True,20,1.0,2024-10-21,2025-04-20,2025-04-21,2025-07-21,0,0,0.0,0.0
BBRI,BBRI.JK,Finansial,1,RSI,RSI14 | RSI 30/70 | Without SMA50 Filter | No Candle Confirmation | No Volume Filter,RSI_30_70_NOSMA50_NOCANDLE_NOVOL_Signal,RSI 30/70,30,70,Without SMA50 Filter,False,No Candle Confirmation,False,No Volume Filter,False,20,0.0,2024-10-21,2025-04-20,2025-04-21,2025-07-21,4,2,50.0,50.0
BBRI,BBRI.JK,Finansial,1,RSI,RSI14 | RSI 30/70 | Without SMA50 Filter | No Candle Confirmation | Volume >= VolMA20,RSI_30_70_NOSMA50_NOCANDLE_VOL_Signal,RSI 30/70,30,70,Without SMA50 Filter,False,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,2024-10-21,2025-04-20,2025-04-21,2025-07-21,3,2,66.66666666666666,66.66666666666666
BBRI,BBRI.JK,Finansial,1,RSI,RSI14 | RSI 30/70 | Without SMA50 Filter | Candle Confirmation | No Volume Filter,RSI_30_70_NOSMA50_CANDLE_NOVOL_Signal,RSI 30/70,30,70,Without SMA50 Filter,False,Candle Confirmation,True,No Volume Filter,False,20,0.0,2024-10-21,2025-04-20,2025-04-21,2025-07-21,4,2,50.0,50.0
BBRI,BBRI.JK,Finansial,1,RSI,RSI14 | RSI 30/70 | Without SMA50 Filter | Candle Confirmation | Volume >= VolMA20,RSI_30_70_NOSMA50_CANDLE_VOL_Signal,RSI 30/70,30,70,Without SMA50 Filter,False,Candle Confirmation,True,Volume >= VolMA20,True,20,1.0,2024-10-21,2025-04-20,2025-04-21,2025-07-21,3,2,66.66666666666666,66.66666666666666
BBRI,BBRI.JK,Finansial,1,RSI,RSI14 | RSI 35/65 | With SMA50 Filter | No Candle Confirmation | No Volume Filter,RSI_35_65_SMA50_NOCANDLE_NOVOL_Signal,RSI 35/65,35,65,With SMA50 Filter,True,No Candle Confirmation,False,No Volume Filter,False,20,0.0,2024-10-21,2025-04-20,2025-04-21,2025-07-21,0,0,0.0,0.0
BBRI,BBRI.JK,Finansial,1,RSI,RSI14 | RSI 35/65 | With SMA50 Filter | No Candle Confirmation | Volume >= VolMA20,RSI_35_65_SMA50_NOCANDLE_VOL_Signal,RSI 35/65,35,65,With SMA50 Filter,True,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,2024-10-21,2025-04-20,2025-04-21,2025-07-21,0,0,0.0,0.0
BBRI,BBRI.JK,Finansial,1,RSI,RSI14 | RSI 35/65 | With SMA50 Filter | Candle Confirmation | No Volume Filter,RSI_35_65_SMA50_CANDLE_NOVOL_Signal,RSI 35/65,35,65,With SMA50 Filter,True,Candle Confirmation,True,No Volume Filter,False,20,0.0,2024-10-21,2025-04-20,2025-04-21,2025-07-21,0,0,0.0,0.0
BBRI,BBRI.JK,Finansial,1,RSI,RSI14 | RSI 35/65 | With SMA50 Filter | Candle Confirmation | Volume >= VolMA20,RSI_35_65_SMA50_CANDLE_VOL_Signal,RSI 35/65,35,65,With SMA50 Filter,True,Candle Confirmation,True,Volume >= VolMA20,True,20,1.0,2024-10-21,2025-04-20,2025-04-21,2025-07-21,0,0,0.0,0.0
BBRI,BBRI.JK,Finansial,1,RSI,RSI14 | RSI 35/65 | Without SMA50 Filter | No Candle Confirmation | No Volume Filter,RSI_35_65_NOSMA50_NOCANDLE_NOVOL_Signal,RSI 35/65,35,65,Without SMA50 Filter,False,No Candle Confirmation,False,No Volume Filter,False,20,0.0,2024-10-21,2025-04-20,2025-04-21,2025-07-21,4,3,75.0,75.0
BBRI,BBRI.JK,Finansial,1,RSI,RSI14 | RSI 35/65 | Without SMA50 Filter | No Candle Confirmation | Volume >= VolMA20,RSI_35_65_NOSMA50_NOCANDLE_VOL_Signal,RSI 35/65,35,65,Without SMA50 Filter,False,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,2024-10-21,2025-04-20,2025-04-21,2025-07-21,4,3,75.0,75.0
